,Word,Occurance
16999,newhouse,2
17000,tanking,2
17001,wiener,6
17002,perversionthe,1
17003,dawniedeee,1
17004,dawn,2
17005,golda,1
17006,meir,1
17007,krissysummers88,1
17008,michiganthanksthe,1
17009,thegypsysons,1
17010,rassilonsarmy,1
17011,markwonderful,1
17012,aboubacarmande,1
17013,donaldrumsfeld9,1
17014,non,7
17015,restaurantsgraydons,1
17016,djloopsfruit,1
17017,himhes,1
17018,lowlife,13
17019,markeaston777,1
17020,figthing,1
17021,virtual,6
17022,revolt,2
17023,dmacduff11,1
17024,chrisinspfld,3
17025,freesprite2,1
17026,tooth,2
17027,gurningchimp,2
17028,jefflip,2
17029,stevie,1
17030,wynn,3
17031,mattcyr2312,1
17032,sunnyjl52,1
17033,youarenotdeep,2
17034,professor,12
17035,mit,3
17036,sanfangas,1
17037,funnier,3
17038,wellrealcoachhodge,1
17039,mc21701,1
17040,legendi,1
17041,libbygaj,1
17042,gshuba,2
17043,jcaavs,1
17044,baker772,1
17045,leeboggs,2
17046,penalities,1
17047,a380jet,1
17048,mrwalrusq,1
17049,moronwatch,1
17050,pourquoipas20,2
17051,kenkelly08kelly,1
17052,michiganthe,1
17053,avenues,1
17054,markethttpyoutube0g9fzzk7wk,1
17055,innovative,7
17056,energizing,2
17057,chrismcnall,3
17058,87,5
17059,blowhard,2
17060,sheand,1
17061,beings,2
17062,darjar14,1
17063,frivolous,5
17064,attorneys,3
17065,binding,3
17066,poemtrees,1
17067,ruin,12
17068,500k,4
17069,truthisthat1,1
17070,powerless,3
17071,followme,1
17072,johns81366,1
17073,randyrolph,1
17074,shelly,3
17075,kulwin,2
17076,lyin,35
17077,todayfool,1
17078,pattyochs,1
17079,jgy777ph,1
17080,joannah,1
17081,dietztrott,1
17082,davidwhat,1
17083,arkielad,1
17084,susiebeatrice1,1
17085,sennandy,1
17086,benbradleyabc7,1
17087,rossweidner,1
17088,triggerracing,1
17089,greata,1
17090,goldberg,7
17091,womanloved,1
17092,resplatt123,1
17093,tishalewis,1
17094,3x,1
17095,httpbitly18noyia,1
17096,twit,1
17097,dirthttpbitly12zy1qu,1
17098,ffcoalition,1
17099,evaluate,1
17100,buseyfoundation,1
17101,suntimes,1
17102,httpbitly18befja,1
17103,comcast,9
17104,seengreat,1
17105,advantagewarren,1
17106,paulsonfor,1
17107,paulson,3
17108,sought,8
17109,hedge,4
17110,fundvery,1
17111,smartbut,1
17112,jojo81466,2
17113,thatsright,1
17114,congressgent,1
17115,jimmydevito,1
17116,hatchetwounds,1
17117,dam615,2
17118,capitalcashco,1
17119,brandongersh,1
17120,maf,1
17121,a11seeingeye,1
17122,dumbbut,1
17123,minimum,7
17124,wage,8
17125,maasmaaswhatup,1
17126,engages,2
17127,thejuice59101,1
17128,julesmattsson,1
17129,libel,7
17130,nametoo,1
17131,mandatory,3
17132,identification,5
17133,danrpriest,1
17134,aaronrupe33,1
17135,twittbecray,1
17136,datesuch,1
17137,thay,1
17138,dannyzucker,5
17139,businesshes,1
17140,tso,1
17141,flops,3
17142,endless,20
17143,pouring,44
17144,insecure,9
17145,mindbut,1
17146,lukewsavage,1
17147,gingram66,1
17148,ericleebow,8
17149,currrently,1
17150,mod,1
17151,fam,3
17152,remark,4
17153,andyrichter,2
17154,cnbcespecially,1
17155,germany28364,2
17156,jefferies,1
17157,trumprulesthanks,1
17158,kevinsmoore,1
17159,erinamunson,1
17160,efficient,6
17161,biglakeshow,1
17162,pusspuss09,1
17163,kosstar,2
17164,therealkurse,2
17165,sirenasola,2
17166,helpcan,2
17167,lemrmike,1
17168,string,3
17169,nighthes,1
17170,wager,1
17171,sharper,4
17172,andwon,1
17173,gavincoffin,1
17174,loose,5
17175,inheritance,2
17176,dreadful,1
17177,dannyzuk,1
17178,generalzod4109,1
17179,mahr,1
17180,spelled,2
17181,jbeans51,1
17182,matteo5anchez,2
17183,cock,1
17184,cashrun,1
17185,rustinniles,2
17186,baaaaack,1
17187,dominicformaro,1
17188,hilarious,8
17189,dumbasses,1
17190,hating,9
17191,whoawhat,1
17192,keepcalm,1
17193,bvogel56,1
17194,arguing,2
17195,pointless,2
17196,endeavor,8
17197,gutless,4
17198,isloser,1
17199,chixbeach,1
17200,engage,4
17201,allidoisowen,1
17202,koneslager,2
17203,stranger,1
17204,leahanddean,1
17205,raybongz,1
17206,nandinigodara,1
17207,dp,1
17208,captainapathyuk,1
17209,knocking,3
17210,hater,12
17211,starsign911,1
17212,pussies,1
17213,jeffbirotweets,1
17214,thoroughly,10
17215,ctwilki,1
17216,paulysouffle,1
17217,smallbiz,2
17218,timetake,1
17219,mf,1
17220,satyronline,1
17221,pissing,3
17222,0unicornchris0,1
17223,canvasguru,1
17224,martintagg,1
17225,ladies,4
17226,pdgreenwood,2
17227,dany,1
17228,zilker,1
17229,namer,1
17230,moosejawnski,1
17231,mikemccabesad,1
17232,itsjenwbitches,2
17233,teresaisthebest,1
17234,billyharry1,2
17235,howards,3
17236,fashionistabtch,1
17237,theend,1
17238,perfection,11
17239,thatbrody,2
17240,cristaly,1
17241,djbtv,1
17242,dismantles,1
17243,anymoreenjoy,1
17244,finishgutless,1
17245,unwilling,10
17246,oldmanconroy,1
17247,anymoretoo,1
17248,swankyhec,1
17249,againmake,1
17250,sonaderi,2
17251,despise,5
17252,theydve,1
17253,voted4u,1
17254,msaid10,3
17255,mohamed,2
17256,stshizzle,1
17257,ac360,17
17258,fabianross,1
17259,leadershipotherwise,1
17260,kerim322,1
17261,suddenly,1
17262,kamsunited,1
17263,resatdorsia16,1
17264,arnoldziffle2,1
17265,agaiin,1
17266,coolz36,1
17267,wonthen,1
17268,therc3,2
17269,blasted,2
17270,trumpusa,1
17271,mjjustus1,2
17272,onthevirg66,1
17273,cokokkola,1
17274,46º,1
17275,alpugh1,1
17276,vineculture,1
17277,c4662,1
17278,wunions,1
17279,ustechie,1
17280,washingtondc,1
17281,californiabloo,1
17282,newscorpse,1
17283,mattiacrovini,1
17284,bobbysoo80,2
17285,retards,1
17286,lmowle,3
17287,pls,15
17288,hlp,3
17289,grandaughter,2
17290,stacey7,3
17291,lynngale2,1
17292,travianno,1
17293,aliyuaminuahmed,1
17294,donal,3
17295,kodycoats,1
17296,sweetbaboo1968,1
17297,josephkuye,1
17298,genuinely,3
17299,gilcharles,1
17300,petsalivewest,1
17301,wastedtalent19,1
17302,michaeljhill,1
17303,renaissance,5
17304,transformation,4
17305,natestott,1
17306,msinger456,1
17307,joe10kendrew,1
17308,gangsterdannyg1,1
17309,iraqwhich,1
17310,sugars,1
17311,infinitysedge,1
17312,coalfields,1
17313,eliiizabethhhhh,1
17314,ghettotrophy,1
17315,iamgrizzly1974,2
17316,furthermore,1
17317,countrymust,1
17318,smerwickman,1
17319,out—project,1
17320,vattenfallgroups,1
17321,illconceived,3
17322,£25m,1
17323,menard,1
17324,menards,1
17325,improvement,6
17326,horribly,11
17327,unionhttpbitly1avcgks,1
17328,trumpcollection’s,3
17329,httpbitlyzbzmqq,2
17330,foxnews’,3
17331,intimidation,1
17332,tompuiseux,1
17333,nypost’s,2
17334,pagesix,3
17335,researching,1
17336,runhttpbitly10b8mm6,1
17337,beccapiano,3
17338,smickiwench,1
17339,tdragonfly,1
17340,httponwsjcom14knrdj,1
17341,grills,1
17342,austile147,1
17343,mandcnortheast,1
17344,fundanythinghttpwwwwashingtonpostcomblogsonsmallbusinesspostdonaldtrumpjumpsintocrowdfunding2013052223dc3a66c30311e29fe26ee52d0eb7c1bloghtml,1
17345,bomoca,1
17346,davidfulop,2
17347,classiced,1
17348,bollingsballs,1
17349,welltough,1
17350,bosstalk,3
17351,httpwwwvanityfaircomonlinedaily201305underblacklightdarksideofthemoonlyricsvisibleindonaldtrumpshairmbidsocialtwitter,1
17352,downlost,1
17353,waysad,1
17354,sufferlonger,2
17355,fireman,1
17356,lisakaminsky,1
17357,tftamt,1
17358,mattcad,1
17359,bethandersonesq,3
17360,uberfamous,1
17361,forhomesales,1
17362,lungquest,1
17363,lung,2
17364,andyshinberger,1
17365,jakewittman,1
17366,new0rleanslady,1
17367,changd,1
17368,fossilfiend7,1
17369,thursday’s,2
17370,httpktietv1950uzs,2
17371,onedaddy26,1
17372,robbreport,4
17373,magazine—thankshttpsharesw0par,1
17374,windy,8
17375,soars,7
17376,httpbitly12idqhu,1
17377,graemereid1984,2
17378,trumpgolflinks,4
17379,volkermillion,1
17380,jatbwifee,1
17381,francaselles,2
17382,pages,16
17383,nofly,1
17384,httpthebeast143tmfm,1
17385,togetherdefund,1
17386,commissions,5
17387,enemyshould,1
17388,pastorshanewest,1
17389,joanna,1
17390,amandaphantm,1
17391,raffie100,1
17392,katdhairstudio,3
17393,itwork,1
17394,murraybrown10,1
17395,yatiisma,1
17396,tonyfernandes,1
17397,charmed112586,1
17398,awhile,2
17399,httpslateme147y7qt,1
17400,missmakeupmogul,1
17401,wisei,1
17402,himunderstand,1
17403,niyafiya,1
17404,honesty,30
17405,yournotfired,1
17406,pictwittercomsfnjvf9rhk,1
17407,janhaight,1
17408,hesgreat,1
17409,codyalliecats,1
17410,metaltyger98,1
17411,pictwittercomnlxixoepkz,1
17412,beautyperson,1
17413,mishuboo,1
17414,samantha,2
17415,warrendya,1
17416,mallorybeck17,1
17417,mallory,1
17418,jakepalmer412,1
17419,wsnt,1
17420,mitchelltraver,1
17421,guyendorekaiser,2
17422,booksthanks,1
17423,jonathanarenas8,1
17424,latinos,11
17425,forceful,1
17426,badgirlofrockxx,1
17427,arnt,1
17428,20k,4
17429,schmidttona,1
17430,paulinabours,1
17431,saludos,1
17432,desde,1
17433,croninmichelle,1
17434,golanflamm,1
17435,wantthetrumpfeeling,1
17436,macystrump,1
17437,nobel,2
17438,cbmcq,1
17439,wicz2003,1
17440,1brianpadilla,1
17441,christianvaux,1
17442,truei,1
17443,eradicating,2
17444,debtits,1
17445,httpfxnws11cowmd,1
17446,leadershiphttpbitly18b3fbi,1
17447,despises,1
17448,tyranny,1
17449,revitalizing,1
17450,miller’s,1
17451,album,3
17452,project—they,1
17453,ministry,1
17454,smartly,2
17455,obstinate,1
17456,stubborn,14
17457,qualities,5
17458,matthewjpizzo,2
17459,4geiger,1
17460,sarahave,1
17461,scottallenmeyer,1
17462,dakotas,1
17463,marclaurito,1
17464,itskailiebro,1
17465,heatherchilders,3
17466,heather,10
17467,stuffirs,1
17468,shulman,1
17469,affair,3
17470,martycpa,1
17471,gregshoes69,1
17472,teamsowards,1
17473,classy,23
17474,davenanni,1
17475,lv,3
17476,money500sqft,1
17477,bath,1
17478,shower,2
17479,closet,6
17480,downside,4
17481,alecmillionaire,1
17482,architectural,10
17483,boat,6
17484,fanjcena,1
17485,father’s,5
17486,day—they’re,1
17487,arronj1,1
17488,doingyou,1
17489,generallauri,1
17490,lauri,1
17491,shaunsettle,1
17492,persdevquotes,4
17493,lovethedonald,1
17494,violets69,1
17495,grandfather,2
17496,hon,2
17497,blangiardo,1
17498,httpwwwnytimescom19810722nyregionrulingsupportstaxabatementaskedbytrumphtmlntop2freference2ftimes20topics2fsubjects2ft2ftaxes,1
17499,jkoch19koch,1
17500,rebar,3
17501,thankyou,9
17502,robb,5
17503,chadsheridan,2
17504,mick,7
17505,podcast,4
17506,youvemadeit,1
17507,jacksmith96,1
17508,shapaliath,1
17509,cough93,1
17510,ezt91,2
17511,partylikerlove1,2
17512,memaralago,1
17513,mrmikelawlor,1
17514,talentedpaul,1
17515,woodruffbetshttpbitly15y6upe,1
17516,httpbitly15y9jq7,1
17517,consciousness,2
17518,babbling,1
17519,trumppanama,17
17520,majestic,3
17521,sail,3
17522,httpbitly15yd81s,3
17523,httppolitico15ygs2s,1
17524,deliverables,1
17525,laughs,8
17526,beneficiary,3
17527,postsaddam,1
17528,httpbitly15yfkpn,1
17529,amnestyhttpbitly14mtii2,1
17530,httpbitly15yiaem,1
17531,broray,1
17532,genevievebyrne,1
17533,theronnivp,1
17534,d4dufour,1
17535,fatherenjoy,1
17536,thomasvanhoutte,1
17537,murphy756,2
17538,patiently,2
17539,await,4
17540,towel,1
17541,vincentmoretti,1
17542,sorrowmachine,1
17543,nicole52008,2
17544,livintheamericandream,1
17545,charleyufarley,2
17546,bigsi,1
17547,realdonaldrumpf,1
17548,ericfranson,1
17549,mandygomez01,1
17550,johnsim96499126,2
17551,smccauley1972,1
17552,beside,4
17553,kathyth38140700,1
17554,concern,5
17555,sirbraden,1
17556,jakecbaum,1
17557,notthatactor,19
17558,chump,2
17559,yearway,1
17560,tristenheath,1
17561,concepts,2
17562,ideasthen,1
17563,ronwemma,1
17564,challenging,7
17565,arthurdemeyer,1
17566,nieporte,2
17567,qualifying,2
17568,usopengolf,5
17569,courtney,1
17570,coren,1
17571,nothinghttpbitly18qpd7v,1
17572,thescotsman,4
17573,planhttpbitly18qtf9o,1
17574,httpbitly18qrqja,1
17575,whitey,1
17576,bulger’s,1
17577,prosecution,6
17578,intriguing,2
17579,asst,1
17580,clubbedminster,1
17581,pros—john,1
17582,herman—who,1
17583,happyloner,1
17584,arid93,1
17585,gohermie,2
17586,linkspress,1
17587,fot,2
17588,shootings,18
17589,blacksif,1
17590,hispanics,31
17591,98,10
17592,blacks,9
17593,hispanicsa,1
17594,subjectmust,1
17595,correctmust,1
17596,dblsolo700,2
17597,zedcrtr,1
17598,cp5,1
17599,muggers,1
17600,themwerent,1
17601,an2nym,1
17602,fab,2
17603,strangedrugs,1
17604,ncartagena27,1
17605,rican,1
17606,goonrob,1
17607,elamenwalker,1
17608,funkynfortunate,1
17609,lois,3
17610,lerner,2
17611,mrbocce,1
17612,sox,2
17613,bostonmust,1
17614,cgroll33,1
17615,laurenfaith01,1
17616,jonzy1523,2
17617,glendagoff,2
17618,shelleysherwin,3
17619,brandongrip,1
17620,wyman,1
17621,httpbitly1b2eods,1
17622,revolutionizing,1
17623,financed,1
17624,tfore4,1
17625,clubhouse,6
17626,httpbitlydzwrw9,2
17627,judare,1
17628,disgraced,22
17629,pinstripes,2
17630,kern,1
17631,12b,2
17632,httphufftobgg9bt,1
17633,foxsportsgolf,1
17634,protégé,1
17635,earns,1
17636,httponmsncom17ouhej,1
17637,rooms,44
17638,httpbitly17oyxh1,3
17639,attirehttpbitly15axyl0,1
17640,dayyour,1
17641,stephanie,2
17642,cutter,3
17643,httpbitly17of778,1
17644,investigative,6
17645,hoft,1
17646,httpbitly13a50li,1
17647,chrissuprun,1
17648,rjchoppy,1
17649,teamhe,1
17650,tylerhogan1,1
17651,golf18,1
17652,sanmiguel23,1
17653,pablo,4
17654,picasso,6
17655,flexibly,2
17656,narrowminded,2
17657,rigid,2
17658,vinnypac,2
17659,tje,1
17660,bridgewater,1
17661,mall,4
17662,shop,17
17663,rainy,1
17664,luv,9
17665,deluxeboss,1
17666,bobbyukip,1
17667,canadians,6
17668,mightyplanes,2
17669,discoverycanadadont,2
17670,httpmissusacom,1
17671,insanepricing,1
17672,worldhttpbitly16mmqlj,1
17673,jtotoole,2
17674,taps,1
17675,convert,2
17676,dcs,4
17677,httpcnnmonie16mnrta,1
17678,collecting,3
17679,whistle,2
17680,blower,1
17681,bikinis,1
17682,pageanthttpbitly11ubrck,1
17683,nsa,10
17684,leaker,13
17685,hong,10
17686,kong,10
17687,arming,7
17688,hemisphere,3
17689,httpbitlyzzaerm,1
17690,kevindrako2,1
17691,somerset,2
17692,swat,2
17693,httpinstagramcompayfhdmhdd,1
17694,jbradleydesign1,1
17695,httpbitlyzfn6ig,1
17696,dardonyc16,2
17697,wood,1
17698,gsgov,1
17699,clippers,3
17700,tabloidhack,1
17701,httpwwwwashingtontimescomnews2013jun10millerdonaldtrumpsayscountrygoinghellhandba,1
17702,rosemarrisa,1
17703,magamboart,1
17704,ｒｔ☞,1
17705,pictwittercomg3tda1md9f,1
17706,riddzey32,1
17707,2day,1
17708,coachlombardi,1
17709,trueleader,1
17710,azdaniel27,2
17711,bricks,1
17712,brinkley,1
17713,tedieballgame,1
17714,missally52,1
17715,relative,6
17716,7242yard,1
17717,dyehttpyoutubey73fwwpnm1w,1
17718,belated,3
17719,french,13
17720,madeinny,1
17721,mayors,1
17722,‘this,1
17723,handbasket’httpbitly116qmnr,1
17724,spawn,1
17725,roborbobor,1
17726,jhayman2,1
17727,preferable,1
17728,indecision,2
17729,maimonides,1
17730,data’s,1
17731,rankings,2
17732,carbonintensive,1
17733,eu’s,1
17734,ldn1017,1
17735,friendbus,1
17736,wgonet,1
17737,yra007unaj,1
17738,lovevictoria,1
17739,victoria,2
17740,hype,3
17741,formermiss,1
17742,scottymcd1980,2
17743,clublos,1
17744,angeleshttpyoutubey73fwwpnm1w,1
17745,80’s,1
17746,snowden,44
17747,escaping,2
17748,unfeasible,1
17749,httptlgdn1rkpkgc,1
17750,httptlgdn1rkpmbo,1
17751,danny—let,1
17752,lend,4
17753,dannyyoure,2
17754,resist,13
17755,verbally,1
17756,justso,1
17757,arberdoci,1
17758,compare,6
17759,lolitanyc,1
17760,bahuksanamph,1
17761,timeface,1
17762,musictrump,1
17763,mayaalusik,1
17764,whomikejones6,1
17765,zukerisaloser,1
17766,wrinkles,2
17767,quitting,6
17768,soul,9
17769,tonel0c,1
17770,2million,1
17771,bingo1bingo2,1
17772,initiated,2
17773,rich9ie8,1
17774,kevcur8,2
17775,arse,1
17776,exposed,27
17777,dttime,1
17778,gamefor,1
17779,backerstrust,1
17780,ujust,2
17781,itbuild,1
17782,paynetb,1
17783,helpless,2
17784,tigergal62,1
17785,spuffer316,2
17786,rbeezybess,2
17787,stu,1
17788,aleksydasexy,1
17789,whiskeysam99,1
17790,justmenoahb,1
17791,juliar1206,1
17792,backward,1
17793,mikevega4,1
17794,whoiszucker,1
17795,wfdelong,1
17796,psmith819,1
17797,boytrump,1
17798,itas,1
17799,sirklza,1
17800,teerellz95,1
17801,matthewpascale,1
17802,happiikarii,1
17803,gysellalmonte,1
17804,snub,1
17805,viscountess,1
17806,astor,1
17807,18791964,1
17808,ilory,1
17809,whao,1
17810,courtneyymorgan,1
17811,eblakespencer,1
17812,chrisuhrig,1
17813,highlyrecommended,1
17814,jdawgnuts,1
17815,grammar,3
17816,cakebossbuddy,1
17817,cake,3
17818,httpfbmendl8vds1,1
17819,vancouver,21
17820,gifttrump,1
17821,macyshttpbitly15axyl0,3
17822,httpbitlylqs0nh,1
17823,nickjonas,3
17824,jonasbrothers,2
17825,duchessofdallas,1
17826,traitor,20
17827,ushttpbitly12le8bt,1
17828,solving,5
17829,eurphrosye,1
17830,quicksorter,1
17831,andrewtavani,1
17832,attorney,75
17833,littlechutemike,1
17834,tinkerp91,1
17835,leodicaprio,1
17836,vegaswill,1
17837,daviscpagroup,2
17838,pine,6
17839,pops,2
17840,tommyguns11,3
17841,embarassment,2
17842,billionszero,1
17843,hellocory,1
17844,dannyzuck,1
17845,jmkjmkjmkjmkjmk,2
17846,dooobieashtray,1
17847,ithes,1
17848,onlyonetweet,1
17849,tweeter,1
17850,invasion,12
17851,perpetratorsthe,1
17852,fled,2
17853,extrachrisb,1
17854,jamesklatt,1
17855,huandarulz,1
17856,saves,2
17857,aussiemika74,1
17858,tiffanyatrump,2
17859,pictwittercomlvdgzwvoiq,1
17860,mattseba,2
17861,justinrose99,11
17862,connecticut’s,2
17863,wellrepresented,1
17864,crowning,2
17865,conneticut’s,1
17866,httpbitly14dlha5,1
17867,djpaulyd’s,1
17868,performances,3
17869,noltenc,3
17870,fishbowldc’s,1
17871,journos,1
17872,resonating,4
17873,retribution,7
17874,engagedhttpbitly14dkea7,1
17875,utah,19
17876,thought—could,1
17877,dannyzuker’s,1
17878,womanunfair,1
17879,marzanoj,1
17880,peaceloveandmeg,2
17881,usprestige,1
17882,testing,19
17883,complacent,4
17884,chrisleigh604,1
17885,pic,11
17886,jlsmoothh,2
17887,nervously,2
17888,mannymacoo,1
17889,glcarter7,1
17890,moscow,25
17891,camarodays,2
17892,athompson362,1
17893,gamereally,1
17894,pzoric,1
17895,docshanahan1,1
17896,hammerheads,1
17897,longlivetheboss,1
17898,scumprincess,1
17899,et614,3
17900,ldbox,1
17901,nargesnirumvala,1
17902,coollikeelvis,1
17903,thebigastabile,1
17904,edklein’s,1
17905,amateur’,1
17906,marching,8
17907,matglav,1
17908,attributed,5
17909,gandolfini,3
17910,dst1015,1
17911,filippo,1
17912,playergive,1
17913,lisaluciatesta,1
17914,amaze,4
17915,dj,3
17916,bretech2,1
17917,niceprogressive,1
17918,thnk,1
17919,acct,2
17920,twtd,1
17921,no1,2
17922,deleted,36
17923,deletea,1
17924,fabricated,20
17925,gratifying,1
17926,linesand,1
17927,opportunitylook,1
17928,rtwing1020,1
17929,honed,4
17930,httpfbmehw9fc6rz,1
17931,gandolfiniobama,1
17932,mefraud,1
17933,arrest,6
17934,pattiwavinak,1
17935,timeline,2
17936,chokes,2
17937,spurs,3
17938,visionaries—they,1
17939,kjlleonard,1
17940,fubaglady,2
17941,barrimedia,1
17942,cosmicshiftbar,1
17943,iamoptimistic,1
17944,deterrent—us,1
17945,reduce—are,1
17946,httpfbme2xwgdliuo,1
17947,wwefan123444,1
17948,caroleapple,1
17949,bunyolan,2
17950,chalita,1
17951,yaemwannang,1
17952,thailand,7
17953,pictwittercomkb2yam3gfu,1
17954,proestateagent,1
17955,pictwittercompc0vpxvjk0,1
17956,jmuoio88,1
17957,steverickettssp,2
17958,permit,3
17959,requiring,1
17960,bestnewproduct,1
17961,trumpphillygm,6
17962,trumpphillypro,2
17963,pbanura,1
17964,ireland,54
17965,gasparino’s,1
17966,schneiderman’s,4
17967,hunt,309
17968,httpbitly1agrdne,1
17969,atty,1
17970,general’s,6
17971,unethicalhttpbitly1agrdne,1
17972,armusicplanner,1
17973,oversees,1
17974,roomservice,1
17975,menu,6
17976,hotelshttpnydnus17xmevd,1
17977,hotelierme,1
17978,trumpdamachttpbitly17xpe0j,1
17979,glamor,1
17980,prestige,7
17981,httpbitly17xmpna,1
17982,thefamilyleader,15
17983,httpdmregco17xnqhz,1
17984,wipe,4
17985,rbdwalker,1
17986,paulcdevlin,1
17987,1davidkim,1
17988,halfmoon4life,1
17989,cwbmustang,1
17990,evil,24
17991,lorenzolamas,5
17992,ecatxerxes,1
17993,speculationhttpbitly17b2xu9,1
17994,mfmagofficial,1
17995,breaking,45
17996,httpnytims17baeqx,1
17997,opinions,18
17998,nikwallenda,1
17999,skywire,1
18000,canyon,1
18001,collector,2
18002,kane,3
18003,88pkane,1
18004,stanleycup,3
18005,lindasuhler,3
18006,gbrucato21,1
18007,ahi,1
18008,kevinwarchie,1
18009,emileegorham,1
18010,emilee,1
18011,cufflinksmacys,1
18012,keyonmatters,1
18013,annoying,3
18014,michelle823,1
18015,coolchange80,2
18016,alannawannabe,1
18017,jmano33,1
18018,micr0driguez,1
18019,sellers,3
18020,jfsargent,1
18021,yeah,21
18022,spying,22
18023,steamjetboomer,1
18024,blackfridaymgt,1
18025,zell,4
18026,dopeand,1
18027,cariread08,1
18028,dreadphil1,1
18029,pastapp,1
18030,lmetzger3590,1
18031,michael74085825,1
18032,builtit,1
18033,cloverc8,4
18034,nstegm,2
18035,askdonald,1
18036,deen,1
18037,forbidden,2
18038,danilluhermman,1
18039,derrintexada,1
18040,luckwork,1
18041,fordette12,1
18042,cherriestevens,1
18043,pearlharry,1
18044,trumpdoral’s,9
18045,shining,4
18046,cafe,1
18047,cream,3
18048,parlor,1
18049,gucci,2
18050,hastens,1
18051,takeover,4
18052,hoffers1,1
18053,exquisite,5
18054,tomhanks,1
18055,luckyguyplay,1
18056,night—as,1
18057,audit,7
18058,groupshttpbitly14wbdnr,1
18059,httponmktwnet14wdhvz,1
18060,harriet,1
18061,miers,1
18062,mibrunette,1
18063,fixup,1
18064,kennethhazlett,1
18065,richlabelle,1
18066,vincemirabelli,1
18067,inkinhole,1
18068,agccevents,1
18069,chambertalk,1
18070,trends,1
18071,mastering,2
18072,lao,1
18073,traitors,5
18074,shearing,1
18075,pig,1
18076,squealing,1
18077,fleece,1
18078,perspective,10
18079,snowdens,1
18080,jetted,1
18081,jahbalon,3
18082,sexysback,1
18083,rogerjmunson,1
18084,toddriddolls,3
18085,teapartyhub,1
18086,infuriating,1
18087,flags,16
18088,disrespect,19
18089,httpdailycallercom20130623lawmakerswanttostopgovernmentfrombuyingusaflagsfromchina,1
18090,washingtondctea,1
18091,zaranawabzadi,1
18092,recordstraitor,1
18093,volitanlioness,1
18094,wastehorriblehttpbitly19zcscq,1
18095,situated,5
18096,trumpto,8
18097,lifestyle,7
18098,httptrumptorontoca,2
18099,outdo,1
18100,depreciated,1
18101,incl,1
18102,newtgingrich‎,1
18103,crossfire,2
18104,innovate,2
18105,intellect,4
18106,killngamerjobs,1
18107,multiplied,1
18108,billionis,1
18109,experienceunlike,1
18110,blmeek,1
18111,growpeople,1
18112,angryjesusrants,1
18113,youngbasedgodg,1
18114,spsmith78,1
18115,ryanseanheron,3
18116,dylanhendlich,2
18117,stevebickerton2,1
18118,fux,1
18119,ebrumby,1
18120,mrsdare,2
18121,2ndnatureshh,1
18122,pauladeen,1
18123,johnnyboob2,2
18124,embarassing,1
18125,moronsee,1
18126,buffettkraviszell,1
18127,sroyboyk,2
18128,fraction,15
18129,showstopper1020,1
18130,achieved,11
18131,jerrimoore,2
18132,catmos0,1
18133,danielrogerson,1
18134,newnonny,3
18135,carlosgerboles,1
18136,cityand,1
18137,itlook,1
18138,stats,3
18139,knowi,1
18140,bmorebadboy81,1
18141,jimbhoyx,1
18142,lonley,1
18143,rsmithmia,1
18144,everytime,3
18145,danshaw2012,1
18146,2p2trollcat,2
18147,queenof72,1
18148,justgrind,1
18149,whathow,1
18150,nicko7785,2
18151,coo,1
18152,sheryl,1
18153,sandberg,1
18154,yankeed,1
18155,terminatrd,1
18156,250,14
18157,cheriecorso,1
18158,tude,1
18159,edandbev,3
18160,sweetsare,1
18161,reneemk,1
18162,edmhead,2
18163,nigga,1
18164,freely,3
18165,djgura,1
18166,10bb,1
18167,3bb,1
18168,chuffman48,3
18169,poorer,2
18170,metalmadsean,1
18171,marcsoler1,2
18172,nickfronduto,1
18173,wffsa,1
18174,2325will,1
18175,davidrhythmguit,1
18176,dentstwitt,1
18177,mlk,1
18178,jendejournett,1
18179,closeesp,1
18180,slips,2
18181,kenzig,2
18182,hammsbear,1
18183,nd,2
18184,durangorick,4
18185,pledging,2
18186,unleash,6
18187,txpride80,1
18188,cubans,2
18189,regular,9
18190,naterogerthat,1
18191,carsonevans1,1
18192,firefighters,14
18193,freetownspurs,1
18194,novemberany,1
18195,recommendations,4
18196,int1,1
18197,chasecombs4,1
18198,smartguy,1
18199,editieffiong,1
18200,abangmercy,1
18201,impunity,1
18202,ohhh,1
18203,mm13815,1
18204,novel,2
18205,perfectly,15
18206,andfriends,1
18207,uptown,1
18208,httpbitly14logvo,1
18209,spencederek,1
18210,wildfire,2
18211,americahttpbitly14lrcus,1
18212,7291,4
18213,yard,12
18214,ouster,1
18215,httpnytims14lrmzm,1
18216,secupp,7
18217,cnn’s,7
18218,httpbitly14lnxxh,1
18219,jtsthehill,1
18220,fvb123,1
18221,keyagents,1
18222,intends,2
18223,jaymztyler,2
18224,combine,2
18225,lavish,2
18226,antimorsi,1
18227,antimubarek,1
18228,wiseguy,4
18229,kozlowski,1
18230,tyco,1
18231,parole—let,1
18232,ashish,3
18233,thakkar,3
18234,uganda,3
18235,httpbitly14muxnd,1
18236,spectator,3
18237,entrepreneurialism,1
18238,rehab,3
18239,degraded,3
18240,httpbitly1b2xz04,1
18241,kennethsmithmd,1
18242,hardyawesome,1
18243,ollact,1
18244,buhlebabe,1
18245,jeromeister,1
18246,smoss319,1
18247,xosm,1
18248,mosscreativemediagroup,1
18249,dwangpow,1
18250,dalynxbk,1
18251,ugandan,2
18252,ignorant,8
